store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
freshco,flyer,,Lifesource Basic Slim Blood Pressure Monitor 1 pk,Lifesource Basic Slim Blood Pressure Monitor 1 pk,,39.99,each,,39.99,1ea,True,True
freshco,flyer,,Mr. Goudas Parboiled or Long Grain Rice 8 kg,Mr. Goudas Parboiled or Long Grain Rice 8 kg,,13.99,each,,0.174875,100g,True,True
freshco,flyer,,Nestle Cellos 135-203 g or Nestle Multipacks 164-200 g,Nestle Cellos 135-203 g or Nestle Multipacks 164-200 g,,3.49,each,,2.5851851851851855,100g,True,True
freshco,flyer,,Pearl Milling Company Pancake Mix 905 g or Table Syrup 710 mL or Quaker Instant Oatmeal 228-384 g Selected Varieties,Pearl Milling Company Pancake Mix 905 g or Table Syrup 710 mL or Quaker Instant Oatmeal 228-384 g Selected Varieties,,3.0,each,,0.3314917127071823,100g,True,True
freshco,flyer,,"Dare Viva Puffs or Wagon Wheels 300-360 g, Dare Whippets 230-250 g or Dare Ultimate Cookies 290-300 g","Dare Viva Puffs or Wagon Wheels 300-360 g, Dare Whippets 230-250 g or Dare Ultimate Cookies 290-300 g",,2.29,each,,0.7633333333333333,100g,True,True
freshco,flyer,,Pepperidge Farm Goldfish Crackers 156-200 g,Pepperidge Farm Goldfish Crackers 156-200 g,,2.69,each,,1.7243589743589742,100g,True,True
freshco,flyer,,Campbell's Chunky Soup 515 mL,Campbell's Chunky Soup 515 mL,,2.99,each,,2.99,,True,True
freshco,flyer,,Hellmann's Mayonnaise 710-890 mL,Hellmann's Mayonnaise 710-890 mL,,5.49,each,,5.49,,True,True
freshco,flyer,,Kraft Cheez Whiz 450 g,Kraft Cheez Whiz 450 g,,7.0,each,,0.7777777777777778,100g,True,True
freshco,flyer,,Frito-Lay Variety Pack 18 pk,Frito-Lay Variety Pack 18 pk,,7.99,each,,0.4438888888888889,1ea,True,True
freshco,flyer,,Vita Coca Coconut Water 1 L,Vita Coca Coconut Water 1 L,,3.49,each,,0.349,100ml,True,True
freshco,flyer,,Pine-Sol 1.41 L or Clorox Liquid Bleach 2.4 L,Pine-Sol 1.41 L or Clorox Liquid Bleach 2.4 L,,4.99,each,,0.35390070921985817,100ml,True,True
freshco,flyer,,Dawn Dish Detergent 535-982 mL,Dawn Dish Detergent 535-982 mL,,3.99,each,,3.99,,True,True
freshco,flyer,,Pepsi Soft Drinks 2 L Selected Varieties,Pepsi Soft Drinks 2 L Selected Varieties,,5.0,each,,0.08333333333333334,100ml,True,True
freshco,flyer,,Pepsi Soft Drinks Mini Cans 6x222 mL,Pepsi Soft Drinks Mini Cans 6x222 mL,,3.29,each,,3.29,,True,True
freshco,flyer,,Gatorade 6x591mL or 8x355mL,Gatorade 6x591mL or 8x355mL,,11.0,each,,5.5,,True,True
freshco,flyer,,Coca-Cola Soft Drinks 2 L Selected Varieties,Coca-Cola Soft Drinks 2 L Selected Varieties,,7.0,each,,0.08750000000000001,100ml,True,True
freshco,flyer,,Powerade Variety Team Pack 24x591 mL,Powerade Variety Team Pack 24x591 mL,,14.99,each,,14.99,,True,True
freshco,flyer,,Nestea 12x341 mL or Peace Tea 12x341 mL,Nestea 12x341 mL or Peace Tea 12x341 mL,,5.99,each,,5.99,,True,True
freshco,flyer,,Nestle Cellos 135-203 g or Nestle Multipacks 164-200 g,Nestle Cellos 135-203 g or Nestle Multipacks 164-200 g,,3.49,each,,2.5851851851851855,100g,True,True
freshco,flyer,,Christie OREO & Chips Ahoy!,Christie OREO & Chips Ahoy!,,5.0,each,,1.3888888888888888,100g,True,True
freshco,flyer,,"Dare Viva Puffs or Wagon Wheels 300-360 g, Dare Whippets 230-250 g or Dare Ultimate Cookies 290-300 g","Dare Viva Puffs or Wagon Wheels 300-360 g, Dare Whippets 230-250 g or Dare Ultimate Cookies 290-300 g",,2.29,each,,0.7633333333333333,100g,True,True
freshco,flyer,,Christie Peek Freans,Christie Peek Freans,,5.0,each,,0.9433962264150944,100g,True,True
freshco,flyer,,Tostitos Tortilla Chips 205-300 g,Tostitos Tortilla Chips 205-300 g,,2.99,with Scene+ Card,,1.4585365853658538,100g,False,True
freshco,flyer,,Schneiders Pepperettes 250-375 g Hot Rod Snack Pack 160 g,Schneiders Pepperettes 250-375 g Hot Rod Snack Pack 160 g,,5.99,with Scene+ Card,,2.3960000000000004,100g,False,True
freshco,flyer,,Doritos Tortilla Chips 210-280 g,Doritos Tortilla Chips 210-280 g,,6.5,each,,1.5476190476190477,100g,True,True
freshco,flyer,,Chapman's Frozen Yogurt 2 L or Frozen Dessert 75-120 mL,Chapman's Frozen Yogurt 2 L or Frozen Dessert 75-120 mL,,4.99,each,,0.24950000000000003,100ml,True,True
freshco,flyer,,Que Pasa Tortilla Chips 286-350 g,Que Pasa Tortilla Chips 286-350 g,,7.0,each,,1.2237762237762237,100g,True,True
freshco,flyer,,Best Buy Trail Mix 1 kg,Best Buy Trail Mix 1 kg,,8.99,each,,0.899,100g,True,True
freshco,flyer,,Mars Chocolate Pouches 160-230g,Mars Chocolate Pouches 160-230g,,4.0,each,,4.0,,True,True
freshco,flyer,,Hershey's Stand Up Pouches 165-290 g or Hershey's Multipack 172-232 g,Hershey's Stand Up Pouches 165-290 g or Hershey's Multipack 172-232 g,,3.99,each,,2.4181818181818184,100g,True,True
freshco,flyer,,Jack Link's Jerky 80 g,Jack Link's Jerky 80 g,,11.0,each,,6.875000000000001,100g,True,True
freshco,flyer,,Planters Craft Bar Mix 550 g,Planters Craft Bar Mix 550 g,,4.99,each,,0.9072727272727275,100g,True,True
