store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
sobeys,flyer,KICKING HORSE,KICKING HORSE Ground Coffee,KICKING HORSE Ground Coffee,,11.99,each,,4.221830985915493,100g,True,True
sobeys,flyer,SKINNY POP,SKINNY POP Popcorn,SKINNY POP Popcorn,,4.49,each,,3.592,100g,True,True
sobeys,flyer,MUTTI,MUTTI ORGANIC Tomato Paste,MUTTI ORGANIC Tomato Paste,,3.79,each,,3.79,,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS ORGANIC Large Eggs,COMPLIMENTS ORGANIC Large Eggs,,6.99,each,,0.5825,1ea,True,True
sobeys,flyer,JUDY G,JUDY G Gluten-Free Pizza,JUDY G Gluten-Free Pizza,,10.99,each,,2.4696629213483146,100g,True,True
sobeys,flyer,KETO SKREAM,KETO SKREAM Ice Cream,KETO SKREAM Ice Cream,,7.99,each,,2.6633333333333336,1ea,True,True
sobeys,flyer,EARTH'S OWN,EARTH'S OWN Oat or ORGANICS So Nice Almond Beverages,EARTH'S OWN Oat or ORGANICS So Nice Almond Beverages,,3.99,each,,0.22799999999999998,100ml,True,True
sobeys,flyer,ANNIE'S,ANNIE'S Macaroni & Cheese,ANNIE'S Macaroni & Cheese,,2.79,with Scene+ Card,,2.79,,False,True
sobeys,flyer,NEW NORDIC,NEW NORDIC Supplements,NEW NORDIC Supplements,,,each,,,1ea,True,True
sobeys,flyer,,NATURE'S BOUNTY or DISNEY Vitamins or Supplements,NATURE'S BOUNTY or DISNEY Vitamins or Supplements,,,each,,,1ea,True,True
sobeys,flyer,,Sobeys,Sobeys,,,each,,,,True,True
sobeys,flyer,WHISKAS,WHISKAS Perfect Portions Wet Cat Food,WHISKAS Perfect Portions Wet Cat Food,,4.44,each,,1.48,100g,True,True
sobeys,flyer,IAMS,IAMS Dry Dog Food,IAMS Dry Dog Food,,28.99,each,,0.4736928104575163,100g,True,True
sobeys,flyer,MEOW MIX,MEOW MIX Dry Cat Food,MEOW MIX Dry Cat Food,,8.99,each,,0.024972222222222226,100g,True,True
sobeys,flyer,PEDIGREE,PEDIGREE Dentastix or Marrobone Dog Treats,PEDIGREE Dentastix or Marrobone Dog Treats,,4.99,with Scene+ Card,,2.105485232067511,100g,False,True
sobeys,flyer,FLEECY,FLEECY Softener,FLEECY Softener,,4.99,each,,0.40901639344262297,100ml,True,True
sobeys,flyer,CLOROX,CLOROX Bleach,CLOROX Bleach,,6.99,each,,0.1997142857142857,100ml,True,True
sobeys,flyer,LYSOL,LYSOL Simply Cleaner,LYSOL Simply Cleaner,,4.79,each,,0.0958,1ea,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Surface Cleaner,COMPLIMENTS Surface Cleaner,,7.0,each,,0.25,100ml,True,True
sobeys,flyer,HANDI-FOIL,HANDI-FOIL Aluminum Trays,HANDI-FOIL Aluminum Trays,,,each,,,,True,True
sobeys,flyer,BOUNTY,BOUNTY Paper Towel,BOUNTY Paper Towel,,5.99,each,,0.02995,1ea,True,True
sobeys,flyer,ROYALE,ROYALE or Velour Bathroom Tissue,ROYALE or Velour Bathroom Tissue,,8.99,each,,8.99,,True,True
sobeys,flyer,COMPLIMENTS,"COMPLIMENTS Foam Plates, Bowls or Cups","COMPLIMENTS Foam Plates, Bowls or Cups",,,each,,,,True,True
sobeys,flyer,SENSODYNE,SENSODYNE Rapid Relief or Rapid Repair,SENSODYNE Rapid Relief or Rapid Repair,,6.99,each,,6.99,,True,True
sobeys,flyer,HERBAL ESSENCES,HERBAL ESSENCES Bio Renew Hair Care,HERBAL ESSENCES Bio Renew Hair Care,,7.49,each,,7.49,,True,True
sobeys,flyer,AVEENO,AVEENO Body Lotion,AVEENO Body Lotion,,10.99,with Scene+ Card,,10.99,,False,True
